name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,song_label,PC1,PC2,cluster,cluster_name
All Along The Watchtower - Live - 1991,['Indigo Girls'],0.331,0.466,-14.287,0.0379,0.7090000000000001,0.0,0.939,0.43,90.648,1991,All Along The Watchtower - Live - 1991 - ['Indigo Girls'],-0.17511459,-0.028857052,7,Live Performances
90210 (feat. Kacy Hill),"['Travis Scott', 'Kacy Hill']",0.402,0.526,-6.7410000000000005,0.0904,0.113,8.33e-06,0.105,0.312,81.404,2015,"90210 (feat. Kacy Hill) - ['Travis Scott', 'Kacy Hill']",0.20554729,-0.168948,2,Dance Pop
Smokin' Sticky Sticky,['Unk'],0.623,0.736,-3.657,0.402,0.0021,0.0,0.0691,0.422,87.988,2006,Smokin' Sticky Sticky - ['Unk'],0.46208808,0.049659334,2,Dance Pop
Holding Back the Years,['Norm Douglas'],0.585,0.639,-9.641,0.0333,0.316,0.775,0.0993,0.88,170.082,2008,Holding Back the Years - ['Norm Douglas'],0.32446072,-0.024624057,3,Instrumental Energy
Windmills,['Dan Friel'],0.193,0.856,-2.97,0.109,4.88e-05,0.838,0.285,0.594,113.345,2013,Windmills - ['Dan Friel'],0.31412143,-0.6864643,5,Dark Electronic Instrumental
Overnite Flite,['Little Suns'],0.546,0.373,-13.929,0.0323,0.4270000000000001,0.000105,0.1969999999999999,0.424,127.941,2013,Overnite Flite - ['Little Suns'],-0.048820645,0.34391242,0,Calm Acoustic
All Because of Me,['The Western Investor'],0.275,0.794,-4.36,0.0535,0.0418,0.000294,0.384,0.3670000000000001,191.508,2006,All Because of Me - ['The Western Investor'],0.44266385,-0.56559306,1,Energetic Electronic
Tit for Tat: Tit for Tat,"['Benjamin Britten', 'Malcom Martineau', 'Philip Smith']",0.4970000000000001,0.0809,-19.828,0.075,0.986,0.0,0.0722,0.191,108.905,2011,"Tit for Tat: Tit for Tat - ['Benjamin Britten', 'Malcom Martineau', 'Philip Smith']",-0.8103244,0.3658231,0,Calm Acoustic
Women of Ireland,['Deiseal'],0.208,0.209,-13.505999999999998,0.0422,0.972,0.8079999999999999,0.127,0.142,71.249,1995,Women of Ireland - ['Deiseal'],-0.86923563,-0.16251048,6,Ambient / Classical
Wastrel,['Omnium Gatherum'],0.452,0.977,-3.3560000000000003,0.0642,4.37e-06,0.4589999999999999,0.2789999999999999,0.4679999999999999,99.925,2004,Wastrel - ['Omnium Gatherum'],0.6202489,-0.4649672,5,Dark Electronic Instrumental
Archy & Mehitabel,['Parlovr'],0.35,0.984,-4.631,0.0645,0.0127,0.055,0.111,0.436,137.774,2008,Archy & Mehitabel - ['Parlovr'],0.66722476,-0.4923612,1,Energetic Electronic
Mental Warfare,['Rob Vicious'],0.659,0.762,-7.432,0.181,0.0274,0.00154,0.0994,0.799,178.14,2020,Mental Warfare - ['Rob Vicious'],0.7175744,0.04618492,1,Energetic Electronic
Piss Angel,['Pig Destroyer'],0.216,0.44,-8.766,0.055,0.188,0.0324,0.0785,0.0713,97.465,2001,Piss Angel - ['Pig Destroyer'],-0.2476611,-0.44332635,0,Calm Acoustic
Callaghan's Hornpipe / Byrne's Hornpipe,['The Chieftains'],0.524,0.215,-15.771,0.0472,0.981,0.23,0.198,0.968,86.462,1969,Callaghan's Hornpipe / Byrne's Hornpipe - ['The Chieftains'],-0.30778158,0.6020179,4,Acoustic Pop
Answer My Question,['Joani Taylor'],0.441,0.119,-15.578,0.0363,0.894,1.76e-05,0.0906,0.126,100.77,2003,Answer My Question - ['Joani Taylor'],-0.8116726,0.2705115,0,Calm Acoustic
If It Be Your Will,['Leonard Cohen'],0.4589999999999999,0.258,-14.21,0.0289,0.774,0.0002549999999999,0.1369999999999999,0.115,139.325,2002,If It Be Your Will - ['Leonard Cohen'],-0.61829054,0.059827596,0,Calm Acoustic
Shatterproof,['Julianna Zobrist'],0.728,0.6920000000000001,-5.104,0.0698,0.0226,0.00082,0.109,0.657,128.003,2016,Shatterproof - ['Julianna Zobrist'],0.8319919,0.2210169,2,Dance Pop
Психопат-лунатик,['kizaru'],0.883,0.628,-8.158999999999999,0.0888,0.126,0.0,0.0725,0.662,147.98,2019,Психопат-лунатик - ['kizaru'],0.66045916,0.34523988,2,Dance Pop
